AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
60,0.1247344649,1037,'3 3BR','1960-1979',18000
45,0.2928156749,1037,'3 3BR','1960-1979',44000
54,0.070315235,949,'3 3BR','1940-1959',120000
47,0.172421591,1427,'3 3BR','1940-1959',115000
39,0.5525480893,1427,'3 3BR','1960-1979',70000
27,0.1169559125,974,'2 2BR','1960-1979',111350
47,0.2689391642,859,'3 3BR','1960-1979',33000
45,0.2709522379,859,'3 3BR','-5',20000
-9,-9,859,'3 3BR','-5',-9
76,0.2567324955,633,'2 2BR','2000-2009',0
62,0.2602285714,567,'1 1BR','-5',0
75,0.2469104824,1251,'3 3BR','1940-1959',31000
62,0.1346835443,956,'2 2BR','1960-1979',31000
65,0.2034610383,1204,'3 3BR','1960-1979',19865
45,0.65040922,1032,'3 3BR','1980-1989',12000
46,0.0549865782,1277,'3 3BR','1960-1979',117000
-9,-9,1012,'2 2BR','-5',-9
80,0.2729134665,724,'1 1BR','1960-1979',0
58,0.0957137533,888,'3 3BR','1980-1989',21000
59,0.0690249257,888,'3 3BR','1980-1989',36000
74,0.0335751295,888,'3 3BR','1960-1979',0
77,0.0857668712,888,'3 3BR','1960-1979',0
56,0.3972404584,888,'3 3BR','1980-1989',18000
51,0.1694040181,888,'3 3BR','1960-1979',80000
37,0.0736799018,671,'2 2BR','1980-1989',22000
30,0.1661439915,752,'2 2BR','2000-2009',30000
57,0.1575060729,1130,'4 4BR+','1980-1989',95000
82,0.1805371183,883,'3 3BR','1960-1979',0
59,0.0472968998,883,'3 3BR','-5',101000
62,0.1128,883,'3 3BR','1940-1959',5000
32,0.1599480899,991,'4 4BR+','1960-1979',74000
-9,-9,517,'1 1BR','1960-1979',-9
53,0.1165631384,849,'3 3BR','1940-1959',24000
-9,-9,773,'2 2BR','1990-1999',-9
35,0.1867718229,1058,'3 3BR','-5',67000
81,0.1528189911,683,'2 2BR','1960-1979',0
68,0.1558811559,706,'2 2BR','2000-2009',0
30,1.0699963981,883,'3 3BR','1990-1999',20000
26,0.1952385599,956,'2 2BR','1960-1979',82000
25,0.4092273661,1282,'3 3BR','1960-1979',38000
72,0.1587826087,1015,'4 4BR+','1960-1979',0
70,0.0948353553,883,'3 3BR','1960-1979',0
30,0.1769800212,991,'4 4BR+','-5',70000
30,0.1408696852,991,'4 4BR+','1960-1979',87000
64,1.3807058824,1702,'3 3BR','1940-1959',0
65,0.5743636364,1335,'2 2BR','1940-1959',10000
34,0.1653420154,1335,'2 2BR','2000-2009',59000
62,0.1148919873,1957,'4 4BR+','1960-1979',53000
58,0.0617740439,2075,'4 4BR+','1980-1989',145000
65,9.6141323173,2075,'4 4BR+','-5',5800
77,0.0540212443,794,'2 2BR','1960-1979',0
85,2.35,1102,'3 3BR','1960-1979',0
55,0.7228676835,1102,'3 3BR','1980-1989',11000
48,0.0783827596,1102,'3 3BR','2000-2009',21000
52,0.2852190776,1702,'3 3BR','1960-1979',82000
39,0.2392392392,794,'2 2BR','1960-1979',12000
33,0.7997334222,1102,'3 3BR','1960-1979',3000
58,0.0643667991,1087,'1 1BR','-5',78000
67,0.2012281037,1012,'2 2BR','1940-1959',55500
54,0.0444790916,633,'2 2BR','1960-1979',64000
60,0.108231469,971,'4 4BR+','1960-1979',64000
60,0.1013023256,506,'1 1BR','-5',42000
60,0.0967259432,859,'3 3BR','1960-1979',14964
24,0.18429345,644,'2 2BR','1960-1979',32200
52,0.2733665036,1257,'4 4BR+','-5',0
93,1.01,1257,'4 4BR+','1940-1959',0
80,0.1393303503,1091,'3 3BR','1960-1979',0
75,0.0630990415,671,'2 2BR','1960-1979',0
27,0.1107043491,888,'3 3BR','1980-1989',20000
40,0.193679958,1037,'3 3BR','1960-1979',51500
70,0.7461139896,956,'2 2BR','1980-1989',0
55,0.383473887,1336,'4 4BR+','1980-1989',40000
50,0.3031988317,893,'2 2BR','-5',50000
-9,-9,949,'3 3BR','1940-1959',-9
51,0.0590130327,949,'3 3BR','1990-1999',82000
47,0.1465269901,552,'1 1BR','1960-1979',30000
76,0.1777866163,1082,'4 4BR+','1960-1979',0
77,0.098957289,951,'3 3BR','1960-1979',14000
51,1.1565057625,951,'3 3BR','-5',6000
20,0.3106703538,718,'2 2BR','1960-1979',21000
32,0.4126519256,805,'2 2BR','1940-1959',41000
93,0.0901369572,1294,'2 2BR','1940-1959',2676
59,0.1841139753,1208,'3 3BR','1960-1979',21000
61,0.0724796584,1102,'3 3BR','-5',52000
28,0.6997800864,1102,'3 3BR','2000-2009',0
83,0.1250381679,883,'3 3BR','-5',0
80,0.0547878788,664,'2 2BR','1960-1979',4000
85,0.6852324189,552,'1 1BR','1980-1989',0
65,0.2095431472,671,'2 2BR','1960-1979',0
-9,-9,904,'2 2BR','1960-1979',-9
78,0.4089456869,888,'3 3BR','1960-1979',0
51,0.0978398076,907,'3 3BR','1980-1989',90000
60,0.7293974012,801,'2 2BR','1960-1979',0
69,0.0854634146,642,'2 2BR','-5',0
63,0.4055769231,1012,'2 2BR','-5',4200
44,20976,931,'4 4BR+','-5',0
50,0.2570149685,931,'4 4BR+','-5',82000
39,0.2257100336,1100,'4 4BR+','1940-1959',80000
42,0.1034667902,1100,'4 4BR+','-5',35000
47,0.2484070551,949,'3 3BR','-5',65000
72,0.2514606742,949,'3 3BR','-5',0
28,0.3975190785,760,'2 2BR','1960-1979',35000
39,0.1737794158,931,'4 4BR+','-5',46600
70,0.5664265928,1114,'4 4BR+','1940-1959',0
31,0.1802552192,956,'2 2BR','-5',55000
63,0.4631177206,1032,'3 3BR','1990-1999',18720
62,0.4453644832,773,'2 2BR','1940-1959',0
60,0.2133016627,1204,'3 3BR','1960-1979',0
44,0.1128123982,1083,'3 3BR','1960-1979',86000
55,0.210222142,1032,'3 3BR','1960-1979',2687
63,0.8258823529,1032,'3 3BR','1940-1959',0
70,0.2515,1204,'3 3BR','1960-1979',0
-9,-9,904,'2 2BR','1960-1979',-9
63,0.2102893891,1208,'3 3BR','-5',0
63,0.2316,1436,'4 4BR+','1990-1999',100000
33,0.082795736,1189,'4 4BR+','-5',25000
52,0.0997621535,830,'3 3BR','1960-1979',45000
50,0.0911259175,1459,'4 4BR+','-5',130000
60,0.1266701409,1279,'3 3BR','1940-1959',90000
54,0.3480890844,1187,'4 4BR+','2000-2009',2800
25,0.0941720056,773,'2 2BR','1940-1959',84000
-9,-9,773,'2 2BR','1940-1959',-9
49,0.0834185575,859,'3 3BR','1980-1989',341943
73,0.2804247076,859,'3 3BR','1990-1999',0
48,0.0702880727,1004,'4 4BR+','1960-1979',48000
73,0.0443478261,859,'3 3BR','1960-1979',0
61,0.1404800778,859,'3 3BR','1990-1999',0
80,0.2293333333,633,'2 2BR','1990-1999',0
60,0.1122099511,506,'1 1BR','1990-1999',26000
55,0.2626653759,1287,'4 4BR+','2000-2009',0
93,1.8395973154,632,'1 1BR','1980-1989',0
93,0.0868692661,1002,'3 3BR','1960-1979',0
80,0.090851735,732,'2 2BR','-5',0
60,0.1688503181,794,'2 2BR','-5',6000
85,1.2,757,'1 1BR','1960-1979',0
54,0.1344963008,622,'1 1BR','1960-1979',68000
70,0.1056818182,1433,'4 4BR+','-5',0
66,0.2705591033,843,'1 1BR','1960-1979',0
38,0.107229381,1102,'3 3BR','1980-1989',28500
40,0.2196570361,1102,'3 3BR','1960-1979',44000
63,0.115279804,1102,'3 3BR','2000-2009',69228
69,144,577,'1 1BR','1990-1999',0
68,0.3572093023,773,'2 2BR','1940-1959',0
63,17.478705281,1032,'3 3BR','1940-1959',0
38,0.2786061174,1032,'3 3BR','1960-1979',47000
41,0.0945342797,1204,'3 3BR','1940-1959',82000
74,0.1431111111,956,'2 2BR','-5',0
62,0.2438461538,808,'1 1BR','1990-1999',0
69,1.9677419355,706,'2 2BR','1960-1979',0
87,0.1541982045,1100,'4 4BR+','-5',0
-9,-9,949,'3 3BR','After 2010',-9
41,0.2605280707,1100,'4 4BR+','1960-1979',28500
50,0.1106367054,1091,'4 4BR+','-5',117600
51,0.1283644997,949,'3 3BR','1960-1979',75000
58,0.2052667117,949,'3 3BR','1990-1999',0
39,0.0914422427,1004,'3 3BR','1940-1959',128000
46,308,949,'3 3BR','1980-1989',4000
83,0.39264,1091,'4 4BR+','1960-1979',0
59,0.6986025508,1100,'4 4BR+','1960-1979',0
37,0.5347584582,706,'2 2BR','1940-1959',0
46,0.1896986433,1004,'3 3BR','1960-1979',25000
69,4.2133333333,773,'2 2BR','1960-1979',0
52,0.6598313213,849,'3 3BR','-5',0
64,0.5385500575,849,'3 3BR','-5',20000
33,0.0612560546,1104,'4 4BR+','-5',0
46,12.39,931,'4 4BR+','-5',0
74,0.115819209,849,'3 3BR','1960-1979',0
61,0.0222857143,859,'3 3BR','-5',0
49,0.0387545196,859,'3 3BR','-5',40000
52,0.1051366777,859,'3 3BR','1960-1979',20000
48,0.3762902313,971,'4 4BR+','1960-1979',23000
79,0.2137700846,706,'2 2BR','1940-1959',0
-9,-9,873,'3 3BR','1960-1979',-9
71,0.2439716312,1100,'4 4BR+','1960-1979',0
22,0.0996431787,949,'3 3BR','1940-1959',60000
93,0.1530009329,631,'2 2BR','2000-2009',0
50,0.0871383398,877,'3 3BR','1960-1979',92000
69,0.1329896226,984,'4 4BR+','1960-1979',31000
43,0.0841433104,877,'3 3BR','1990-1999',99000
70,0.0727530121,878,'3 3BR','1960-1979',18000
45,0.0665936302,971,'4 4BR+','1990-1999',145000
61,0.0913281166,633,'2 2BR','1990-1999',28000
76,0.2118790497,859,'3 3BR','1980-1989',0
81,252,859,'3 3BR','1980-1989',0
58,0.6251473899,859,'3 3BR','1990-1999',28000
53,0.0718393625,859,'3 3BR','1940-1959',27000
41,0.11872383,859,'3 3BR','1990-1999',22000
39,0.4712727273,859,'3 3BR','2000-2009',47000
70,0.0573818182,506,'1 1BR','2000-2009',0
42,0.1961533036,1697,'4 4BR+','1960-1979',106000
56,0.2622048078,1697,'4 4BR+','1960-1979',70000
55,0.0712112212,1436,'4 4BR+','1960-1979',68000
79,0.086063529,1462,'4 4BR+','1960-1979',0
79,0.2575182482,891,'2 2BR','1960-1979',0
-9,-9,706,'1 1BR','1940-1959',-9
58,0.1131457154,877,'3 3BR','1990-1999',0
38,0.0613776616,1058,'3 3BR','1990-1999',72000
29,0.3974040153,752,'2 2BR','1980-1989',16500
27,0.1075212743,1058,'3 3BR','1990-1999',42200
79,0.8787245739,500,'1 1BR','-5',0
62,0.3070519099,671,'2 2BR','1990-1999',0
37,0.092614985,888,'3 3BR','1960-1979',64000
39,0.2003894683,888,'3 3BR','2000-2009',75000
73,4.5466666667,521,'1 1BR','1990-1999',0
64,0.1245632996,1037,'3 3BR','1960-1979',35000
49,0.7224138347,951,'3 3BR','1960-1979',40000
35,0.4228999343,1019,'3 3BR','1960-1979',35000
60,0.2811822241,1019,'3 3BR','1960-1979',43000
86,0.9477984567,1983,'4 4BR+','1960-1979',0
61,0.6645311124,1623,'3 3BR','2000-2009',25000
-9,-9,1623,'3 3BR','1960-1979',-9
26,0.3622367625,1256,'2 2BR','1960-1979',36400
29,0.2397381212,1118,'1 1BR','1940-1959',50000
88,0.0711818026,1721,'3 3BR','-5',36650
17,0.4706447353,1335,'2 2BR','1940-1959',2419
47,-1,1049,'1 1BR','1960-1979',0
-9,-9,1335,'2 2BR','1960-1979',-9
46,0.3020055053,1256,'2 2BR','2000-2009',39800
86,0.1693333333,542,'1 1BR','1990-1999',0
47,0.311641791,888,'3 3BR','1960-1979',37000
67,0.6440160865,671,'2 2BR','1980-1989',0
52,0.0761096828,1034,'4 4BR+','1960-1979',100000
29,0.1086930091,888,'3 3BR','2000-2009',115000
59,0.2705541859,671,'2 2BR','1980-1989',28000
61,0.2839779796,888,'3 3BR','1960-1979',28000
64,0.7919094961,888,'3 3BR','1960-1979',0
60,0.3559090909,671,'2 2BR','1990-1999',0
61,0.1157002736,888,'3 3BR','1960-1979',30000
58,0.1221218075,1034,'4 4BR+','2000-2009',19408
27,0.2145678622,888,'3 3BR','2000-2009',38000
54,0.4827184466,1179,'4 4BR+','-5',4500
85,0.3285870756,701,'1 1BR','1960-1979',0
-9,-9,780,'2 2BR','1990-1999',-9
28,0.9601203913,664,'2 2BR','1940-1959',8000
61,3.6375,883,'3 3BR','1960-1979',0
84,0.2041658848,1037,'3 3BR','1960-1979',0
65,0.1055510204,951,'3 3BR','1960-1979',0
57,0.0824555059,1073,'4 4BR+','1940-1959',130000
77,0.1241486068,949,'3 3BR','-5',0
39,0.1379310345,706,'2 2BR','1960-1979',52500
64,0.0970909091,706,'2 2BR','1990-1999',0
71,0.2189024848,949,'3 3BR','-5',14487
72,0.1695636751,949,'3 3BR','-5',0
34,0.0635241756,949,'3 3BR','1980-1989',89000
76,0.1127954882,1083,'3 3BR','1940-1959',0
60,0.1555300611,1083,'3 3BR','After 2010',32277
35,0.3043643842,1083,'3 3BR','1990-1999',10000
52,0.1925578174,811,'2 2BR','2000-2009',52000
70,0.8327597106,729,'2 2BR','1990-1999',0
69,0.1866749633,622,'1 1BR','-5',0
66,0.0560714286,622,'1 1BR','1940-1959',0
87,0.2169425273,1058,'3 3BR','1940-1959',0
64,0.2483048866,752,'2 2BR','-5',0
62,0.1797535637,732,'2 2BR','-5',45000
89,0.680828055,1278,'4 4BR+','-5',0
40,0.2686357609,1083,'3 3BR','1960-1979',38500
-9,-9,1034,'4 4BR+','1940-1959',-9
56,0.0914825067,888,'3 3BR','1990-1999',15300
75,0.082962963,649,'2 2BR','1960-1979',0
48,0.0328035537,1467,'4 4BR+','1960-1979',76000
82,0.9952798382,1251,'3 3BR','1960-1979',0
45,0.1740323203,1467,'4 4BR+','1960-1979',70000
61,0.0680939466,1251,'3 3BR','-5',44000
59,0.0859611437,1277,'3 3BR','1960-1979',0
47,0.1735002158,956,'2 2BR','1940-1959',51000
81,0.5032948929,956,'2 2BR','-5',0
40,0.6718790529,956,'2 2BR','-5',54000
75,0.3896629213,1277,'3 3BR','-5',0
36,0.1947712418,1204,'3 3BR','1960-1979',137000
83,0.1285436053,1277,'3 3BR','1940-1959',0
37,0.1624469291,991,'4 4BR+','-5',90000
88,0.2893506494,1282,'3 3BR','1960-1979',0
50,0.0956419024,1151,'4 4BR+','-5',70838
89,0.3205,956,'2 2BR','1960-1979',0
49,0.0712865454,725,'2 2BR','-5',81500
56,0.1629377086,951,'3 3BR','1960-1979',84500
-9,-9,718,'2 2BR','1960-1979',-9
39,0.2372023973,1056,'3 3BR','-5',10000
39,0.4327794562,1056,'3 3BR','1960-1979',9200
-9,-9,641,'1 1BR','1960-1979',-9
64,7.3152,1032,'3 3BR','1980-1989',0
31,0.1486588235,1032,'3 3BR','1940-1959',0
56,0.7085839256,792,'2 2BR','1980-1989',5500
28,0.2200465192,785,'2 2BR','-5',37000
33,0.1337866805,1058,'3 3BR','1980-1989',81200
34,0.3090764331,883,'3 3BR','1960-1979',25146
72,0.1728,883,'3 3BR','1960-1979',0
74,0.1105945946,931,'4 4BR+','-5',0
71,0.1516475729,849,'3 3BR','1960-1979',0
65,0.122506812,849,'3 3BR','1980-1989',0
51,0.1163896868,849,'3 3BR','1990-1999',80000
35,0.1694502033,849,'3 3BR','2000-2009',110000
51,0.2072898256,649,'2 2BR','-5',30000
57,0.1709590773,853,'3 3BR','1940-1959',38000
85,0.1186666667,853,'3 3BR','1960-1979',0
35,0.1043219569,853,'3 3BR','1960-1979',121000
59,0.38775,956,'2 2BR','2000-2009',0
66,0.2108571429,1204,'3 3BR','1960-1979',0
39,0.1365036606,956,'2 2BR','1940-1959',75000
70,2.7295238095,535,'1 1BR','1980-1989',0
72,0.6144,524,'1 1BR','1960-1979',0
43,0.1744255744,1221,'3 3BR','1960-1979',0
71,0.1515020345,1221,'3 3BR','1960-1979',55796
76,0.4775288716,988,'4 4BR+','1940-1959',0
56,0.1001081081,859,'3 3BR','2000-2009',55000
27,0.0555360985,633,'2 2BR','2000-2009',40000
68,0.3716666667,644,'2 2BR','1940-1959',0
-9,-9,873,'3 3BR','1940-1959',-9
79,2.2371428571,1004,'4 4BR+','1940-1959',0
86,0.2931114193,1032,'3 3BR','1960-1979',0
81,0.2223214286,773,'2 2BR','1940-1959',0
74,0.6459268762,773,'2 2BR','1940-1959',0
44,0.126453855,1032,'3 3BR','1960-1979',26960
72,132,671,'2 2BR','1960-1979',2000
61,0.0571134083,888,'3 3BR','1980-1989',66000
31,0.2114332969,1034,'4 4BR+','2000-2009',75000
88,0.1302503535,888,'3 3BR','1960-1979',0
46,0.5505735141,1262,'4 4BR+','-5',14000
50,0.0380594144,1267,'4 4BR+','1990-1999',12000
64,0.1954612006,1102,'3 3BR','1990-1999',0
57,0.5366784838,1102,'3 3BR','1960-1979',11000
52,0.1468710786,849,'3 3BR','1990-1999',40000
58,0.0678122148,849,'3 3BR','1990-1999',126000
50,0.1962204677,849,'3 3BR','2000-2009',65000
40,0.1010535942,849,'3 3BR','2000-2009',105000
47,376,568,'1 1BR','-5',0
59,0.2375049422,853,'3 3BR','1960-1979',43000
48,0.1499677,918,'4 4BR+','1960-1979',125000
70,9.1860202931,1262,'4 4BR+','1940-1959',0
85,0.56875,1191,'1 1BR','1960-1979',0
63,0.1689440994,1603,'4 4BR+','-5',49000
-9,-9,929,'1 1BR','1960-1979',-9
68,0.0550225154,1214,'4 4BR+','1960-1979',11100
68,0.14928,1119,'2 2BR','1940-1959',13000
34,0.102257155,1208,'3 3BR','1960-1979',127000
68,0.1696947339,1208,'3 3BR','1960-1979',56000
82,0.1655092593,956,'2 2BR','1960-1979',0
-9,-9,956,'2 2BR','1960-1979',-9
46,0.3120118636,925,'2 2BR','1980-1989',19000
48,0.1787823984,1948,'4 4BR+','1960-1979',195000
-9,-9,1619,'3 3BR','1960-1979',-9
44,0.2351453856,671,'2 2BR','1960-1979',0
71,0.161915493,941,'2 2BR','1990-1999',0
40,0.1994592971,1154,'4 4BR+','1960-1979',0
55,0.1038964413,1427,'3 3BR','1960-1979',153000
42,0.2660768667,974,'2 2BR','1980-1989',90000
37,0.2437573386,1336,'4 4BR+','1940-1959',47500
47,0.1304775208,1435,'4 4BR+','-5',116000
69,10.402266289,784,'1 1BR','1990-1999',0
34,1.2325714286,897,'1 1BR','1990-1999',0
53,0.0835619582,1697,'4 4BR+','1960-1979',185000
36,1.4301138885,949,'3 3BR','1960-1979',27000
55,0.1123136235,1100,'4 4BR+','1990-1999',128000
86,0.0232460733,1125,'3 3BR','2000-2009',30000
80,0.191925945,784,'1 1BR','2000-2009',0
37,0.1780344701,1430,'3 3BR','1960-1979',65500
80,0.2301356134,1427,'3 3BR','1960-1979',43000
34,0.1848343264,1390,'2 2BR','-5',140000
33,0.1210696738,1390,'2 2BR','1980-1989',80000
57,0.4233646613,1877,'3 3BR','1960-1979',0
67,0.6724403844,2280,'4 4BR+','1990-1999',0
76,1.9588252512,2280,'4 4BR+','1960-1979',0
66,0.0695328263,1277,'3 3BR','-5',80000
53,0.1872973946,2245,'4 4BR+','1940-1959',27000
62,0.2291684763,956,'2 2BR','-5',80000
45,0.1639161559,1125,'1 1BR','-5',70000
55,0.6749013553,1153,'3 3BR','1960-1979',35000
31,0.5182768592,1153,'3 3BR','1940-1959',27000
31,0.1584755963,1113,'3 3BR','1940-1959',118000
54,0.0859664833,1037,'3 3BR','1960-1979',51000
35,0.2032977446,951,'3 3BR','-5',95000
71,0.1181679887,1056,'3 3BR','1960-1979',0
54,0.2342105263,657,'1 1BR','-5',0
41,0.1022093921,1251,'3 3BR','1990-1999',25000
39,0.3919117339,931,'4 4BR+','1960-1979',4700
-9,-9,1012,'2 2BR','1940-1959',-9
28,0.925716101,1876,'3 3BR','1960-1979',14400
55,0.3225203052,1153,'3 3BR','1940-1959',800
46,0.2613861386,1204,'3 3BR','1960-1979',32000
78,0.0581968776,1153,'3 3BR','1960-1979',9800
43,0.1186263502,1073,'4 4BR+','1960-1979',155000
53,0.2980176612,1232,'4 4BR+','1960-1979',46000
79,0.3320620843,909,'2 2BR','1960-1979',0
69,0.2541339686,1193,'3 3BR','1980-1989',0
64,0.085796306,664,'2 2BR','1960-1979',47000
34,0.1058289787,664,'2 2BR','1960-1979',62000
76,0.8875,664,'2 2BR','-5',0
40,0.1559117078,991,'4 4BR+','-5',90000
54,0.305089371,883,'3 3BR','-5',44000
55,0.1341497579,858,'2 2BR','1960-1979',75000
37,0.6460691343,760,'2 2BR','1980-1989',9820
53,0.302967919,1102,'3 3BR','-5',35000
26,0.4995209871,966,'2 2BR','1960-1979',95000
-9,-9,830,'3 3BR','1940-1959',-9
23,0.186366207,671,'2 2BR','1940-1959',46000
32,0.1381063334,1214,'4 4BR+','1940-1959',1300
54,0.2491313184,1032,'3 3BR','1990-1999',18720
36,0.0536675788,859,'3 3BR','1960-1979',68000
65,1.3368,834,'1 1BR','1960-1979',0
57,0.4798237709,1251,'3 3BR','-5',30000
61,0.040532933,834,'1 1BR','1980-1989',16000
53,0.3237014819,2374,'4 4BR+','1960-1979',82098
39,0.5187919326,2374,'4 4BR+','1960-1979',49000
37,0.9058333333,1064,'2 2BR','1980-1989',0
61,0.2420471102,1094,'4 4BR+','1960-1979',62097
62,0.1275756756,951,'3 3BR','1960-1979',0
-9,-9,951,'3 3BR','1960-1979',-9
60,0.4165137615,671,'2 2BR','1990-1999',0
93,0.3114285714,888,'3 3BR','1940-1959',0
70,0.3204,542,'1 1BR','1990-1999',0
51,0.1147709497,1251,'3 3BR','1960-1979',175000
56,0.3834387763,1302,'3 3BR','1990-1999',25000
69,0.0385849115,1034,'4 4BR+','1990-1999',0
54,0.198375,773,'2 2BR','2000-2009',0
52,0.0428230256,1285,'4 4BR+','1960-1979',100000
44,0.0348549045,1214,'4 4BR+','1990-1999',75000
35,0.1596262039,867,'3 3BR','1940-1959',21000
45,0.1711750394,867,'3 3BR','1990-1999',21000
-9,-9,518,'1 1BR','1990-1999',-9
75,0.2870967742,753,'2 2BR','1960-1979',0
80,0.1152272727,753,'2 2BR','1960-1979',10000
66,0.3839091339,584,'1 1BR','-5',0
83,0.1554098361,702,'1 1BR','2000-2009',0
58,0.2342283727,794,'2 2BR','1960-1979',40000
59,0.1042620328,1102,'3 3BR','1960-1979',34000
33,0.243486613,956,'2 2BR','2000-2009',0
-9,-9,765,'1 1BR','1980-1989',-9
55,0.0870481741,1436,'4 4BR+','1980-1989',0
66,0.2080778177,1208,'3 3BR','2000-2009',20000
32,0.3660950938,1290,'3 3BR','1980-1989',37000
61,0.0780084509,951,'3 3BR','1960-1979',117000
60,1.4522475259,1208,'3 3BR','1940-1959',0
73,0.2888888889,542,'1 1BR','-5',0
-9,-9,633,'2 2BR','1960-1979',-9
60,0.0641381084,859,'3 3BR','1960-1979',35000
57,0.3446240056,1015,'4 4BR+','1960-1979',55643
71,0.5876366063,769,'1 1BR','1960-1979',12000
59,0.364795448,904,'2 2BR','1960-1979',38000
39,0.1258339856,1221,'3 3BR','1960-1979',105000
55,0.3349234097,1326,'4 4BR+','-5',30000
26,282,1208,'3 3BR','2000-2009',0
34,1.5085183273,1208,'3 3BR','1960-1979',3900
63,0.1243333333,867,'3 3BR','1960-1979',21000
74,3.0562734473,1034,'4 4BR+','2000-2009',0
55,0.2544449171,888,'3 3BR','2000-2009',30000
48,0.1311736207,888,'3 3BR','-5',83000
83,1.0589704454,888,'3 3BR','1980-1989',0
69,0.1995740416,849,'3 3BR','1960-1979',0
52,0.3117722908,1033,'4 4BR+','1960-1979',42887
53,648,642,'2 2BR','1940-1959',0
67,0.140625,849,'3 3BR','-5',0
58,0.0749533815,931,'4 4BR+','1960-1979',66000
60,0.4797783507,773,'2 2BR','1960-1979',26000
79,0.2765,971,'4 4BR+','1980-1989',0
65,0.3681818182,859,'3 3BR','1960-1979',0
41,0.114143754,1117,'4 4BR+','2000-2009',89400
45,0.2584680042,971,'4 4BR+','1990-1999',40000
54,0.7592727273,507,'1 1BR','1960-1979',7500
-9,-9,644,'2 2BR','1960-1979',-9
71,0.0868856476,988,'4 4BR+','1940-1959',79359
36,0.0968448374,971,'4 4BR+','1940-1959',74000
62,0.0805006644,859,'3 3BR','1990-1999',140000
48,0.1713857061,1117,'4 4BR+','1960-1979',204000
80,328,1243,'3 3BR','1940-1959',0
49,0.0589801913,1243,'3 3BR','-5',175000
69,0.1622727273,1243,'3 3BR','1960-1979',0
37,0.360995276,971,'2 2BR','1990-1999',65000
58,0.1489320879,1802,'4 4BR+','1940-1959',97000
52,0.2155353601,1436,'4 4BR+','1990-1999',135000
45,0.1397333333,1243,'3 3BR','-5',80000
58,0.2659321873,980,'2 2BR','-5',28000
-9,-9,815,'1 1BR','1990-1999',-9
51,0.1867389924,816,'1 1BR','1960-1979',52000
85,0.0949244304,1279,'3 3BR','1960-1979',0
28,0.137693192,589,'1 1BR','1960-1979',47000
39,0.1684450634,888,'3 3BR','2000-2009',90000
83,2.5433255269,683,'2 2BR','1940-1959',0
-9,-9,500,'1 1BR','-5',-9
-9,-9,500,'1 1BR','-5',-9
-9,-9,542,'1 1BR','1960-1979',-9
64,0.2195294118,542,'1 1BR','1940-1959',0
75,0.2196694215,1113,'3 3BR','-5',0
69,0.1316571429,812,'3 3BR','1960-1979',0
82,0.0953194397,849,'3 3BR','-5',0
76,0.6337748344,849,'3 3BR','1990-1999',1000
53,0.1480627306,849,'3 3BR','1990-1999',78100
41,0.1285590194,849,'3 3BR','2000-2009',103000
44,0.251232,849,'3 3BR','2000-2009',121000
24,0.2433583452,664,'2 2BR','1940-1959',34250
64,0.0875675676,991,'4 4BR+','-5',10000
63,0.0467544344,1056,'3 3BR','1940-1959',105000
78,0.3189528516,828,'2 2BR','1980-1989',0
56,0.6013636364,828,'2 2BR','1960-1979',0
25,0.1940841031,517,'1 1BR','-5',30000
63,0.5162790698,517,'1 1BR','1980-1989',0
70,0.1452,631,'2 2BR','1960-1979',0
82,0.0681428571,631,'2 2BR','1960-1979',0
60,0.4868421053,1010,'4 4BR+','1960-1979',0
55,0.019147893,974,'4 4BR+','1980-1989',159006
71,0.1212121212,631,'2 2BR','-5',0
55,0.015710638,877,'3 3BR','-5',123000
73,0.0192762012,1032,'3 3BR','1960-1979',0
75,0.0542769231,1214,'4 4BR+','1960-1979',0
38,0.3667191837,1037,'3 3BR','-5',80000
69,0.1748529412,949,'3 3BR','-5',58000
53,0.8772275726,949,'3 3BR','-5',0
27,0.1085706987,631,'2 2BR','1960-1979',47000
82,0.3162,760,'2 2BR','1960-1979',0
82,0.2909950693,780,'2 2BR','1980-1989',33280
64,0.2719517449,780,'2 2BR','1960-1979',22000
46,-1,1125,'3 3BR','1960-1979',0
89,0.4806091371,1115,'3 3BR','1960-1979',0
57,0.3929594761,773,'2 2BR','1960-1979',22000
93,0.71,584,'1 1BR','2000-2009',0
46,0.0754425822,1002,'3 3BR','-5',35000
55,0.0336337742,1436,'4 4BR+','1980-1989',145400
62,0.1170967742,773,'2 2BR','1960-1979',56000
54,0.0224240032,1279,'3 3BR','1940-1959',341943
70,0.2006060606,1277,'3 3BR','1980-1989',0
42,0.2087673114,773,'2 2BR','1960-1979',17500
52,0.3627235645,1032,'3 3BR','1960-1979',9600
44,0.1325592015,989,'3 3BR','1960-1979',46000
68,0.0674122664,760,'2 2BR','1940-1959',27000
58,0.2085,706,'2 2BR','1960-1979',0
68,216,706,'2 2BR','1980-1989',0
77,66,706,'2 2BR','-5',0
77,1.2096,706,'2 2BR','1980-1989',0
93,0.1681331615,752,'2 2BR','1980-1989',0
77,0.6409271523,1114,'4 4BR+','1990-1999',0
26,0.3492284839,732,'2 2BR','1990-1999',33000
54,0.3935682902,1114,'4 4BR+','1990-1999',0
73,0.1308545309,1380,'2 2BR','1960-1979',32000
