AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
31,0.2103733653,1833,'2 2BR','2000-2009',95000
34,0.1332288663,1833,'2 2BR','2000-2009',120000
57,0.3285970149,1392,'1 1BR','1980-1989',50000
35,0.3021155079,859,'3 3BR','1980-1989',17000
65,0.1768869936,1231,'3 3BR','1980-1989',140000
36,0.4377777778,966,'2 2BR','1980-1989',0
56,0.4072898005,1436,'4 4BR+','1980-1989',81000
58,0.0880687695,2301,'4 4BR+','1980-1989',0
58,0.1051222978,1058,'3 3BR','2000-2009',145000
41,0.2108710101,1249,'4 4BR+','2000-2009',108400
28,0.1838636912,1058,'3 3BR','2000-2009',70000
62,0.0265115826,1101,'4 4BR+','1980-1989',182000
66,0.1319489111,689,'1 1BR','1980-1989',18789
42,0.1677133922,1130,'4 4BR+','2000-2009',111000
93,0.0465425532,783,'2 2BR','2000-2009',0
29,0.285231143,752,'2 2BR','2000-2009',41200
72,0.10064,1019,'3 3BR','2000-2009',40000
65,0.0698772669,1073,'3 3BR','1980-1989',0
58,0.1496674058,1073,'3 3BR','1990-1999',90000
41,0.2786509359,1468,'4 4BR+','2000-2009',48000
84,0.0332363086,1200,'3 3BR','1980-1989',0
41,0.1489655172,674,'2 2BR','1980-1989',50000
32,0.2468756343,1468,'4 4BR+','2000-2009',69000
57,0.1817840939,1091,'3 3BR','1980-1989',80000
65,0.1062226394,794,'2 2BR','1980-1989',90000
32,0.3327266467,1200,'3 3BR','2000-2009',61000
37,0.2472483221,1468,'4 4BR+','2000-2009',117000
39,0.5928211114,1200,'3 3BR','1980-1989',24000
56,0.0643111054,1528,'4 4BR+','2000-2009',24000
30,-1,1200,'3 3BR','2000-2009',0
37,0.9685472373,1430,'3 3BR','2000-2009',28382
73,0.2257857265,1891,'4 4BR+','2000-2009',60000
40,0.4205480198,1641,'4 4BR+','2000-2009',55000
53,0.1829294959,1584,'3 3BR','2000-2009',71500
22,0.3705815893,1075,'2 2BR','1980-1989',37200
53,0.0886262925,962,'3 3BR','1980-1989',42000
70,2.9017793594,1032,'3 3BR','2000-2009',0
30,0.210730446,962,'3 3BR','2000-2009',65000
56,0.0572247974,657,'1 1BR','2000-2009',30000
56,0.0309955073,1059,'4 4BR+','1980-1989',109000
49,0.0821474868,1573,'4 4BR+','2000-2009',206010
49,0.0885156119,1573,'4 4BR+','2000-2009',354943
44,0.1384593288,949,'3 3BR','2000-2009',0
32,0.0167833823,773,'2 2BR','1980-1989',481943
41,0.3174963663,1259,'4 4BR+','2000-2009',88000
60,0.5425789818,1259,'4 4BR+','2000-2009',9000
76,0.1472324723,1115,'3 3BR','1980-1989',0
93,0.9825,1259,'4 4BR+','1990-1999',0
63,0.0724098672,849,'3 3BR','2000-2009',70000
57,0.2153973355,849,'3 3BR','1980-1989',75000
82,0.70125,1316,'2 2BR','1980-1989',0
68,0.1185474424,1639,'3 3BR','1980-1989',35000
61,0.3693253753,1056,'3 3BR','1980-1989',33200
52,0.1982198303,951,'3 3BR','2000-2009',26710
88,256,736,'2 2BR','1980-1989',0
38,0.2013915131,729,'2 2BR','2000-2009',45000
23,0.2967455529,730,'1 1BR','1980-1989',32000
31,0.4040899796,921,'3 3BR','2000-2009',22000
49,0.0736289869,1082,'4 4BR+','2000-2009',105000
42,0.2112846348,669,'2 2BR','1980-1989',32000
45,0.1857515007,1013,'3 3BR','2000-2009',53000
44,0.1684813023,1073,'4 4BR+','1980-1989',140000
74,0.2922857143,1012,'2 2BR','1990-1999',0
71,0.3941772152,1550,'3 3BR','2000-2009',8000
46,0.1627921449,1335,'2 2BR','2000-2009',225000
62,0.4614666459,1623,'3 3BR','2000-2009',45000
31,0.37552305,907,'3 3BR','1980-1989',28000
31,0.0442788304,907,'3 3BR','2000-2009',82000
64,0.0418982088,907,'3 3BR','1980-1989',150000
77,0.1849606165,1164,'3 3BR','1980-1989',0
58,0.6693975904,1282,'3 3BR','2000-2009',24000
42,0.0722553191,1282,'3 3BR','2000-2009',43000
26,0.7782745046,1129,'3 3BR','1980-1989',0
-9,-9,780,'2 2BR','1980-1989',-9
55,0.2259734414,1183,'2 2BR','1980-1989',40000
41,0.4751351351,566,'1 1BR','1980-1989',0
72,0.4932382919,566,'1 1BR','1980-1989',0
68,0.2590769231,1277,'3 3BR','2000-2009',25000
-9,-9,1025,'3 3BR','2000-2009',-9
-9,-9,767,'2 2BR','2000-2009',-9
-9,-9,1025,'3 3BR','2000-2009',-9
60,5208,783,'2 2BR','1980-1989',0
82,0.395021645,1073,'3 3BR','1980-1989',0
30,0.2322754895,632,'1 1BR','1980-1989',40000
50,0.4085434989,956,'2 2BR','1980-1989',31000
70,0.1795687522,727,'2 2BR','1940-1959',0
19,0.1487858853,649,'2 2BR','1980-1989',33000
69,0.290917504,1277,'3 3BR','2000-2009',12000
43,0.1746620071,1435,'4 4BR+','2000-2009',170000
43,0.285107119,976,'2 2BR','2000-2009',60000
26,0.4449714607,1438,'3 3BR','1980-1989',48000
43,0.4129533827,976,'2 2BR','1980-1989',35000
59,0.115413626,1349,'4 4BR+','1980-1989',0
29,0.1776659902,1041,'3 3BR','1980-1989',64000
39,0.2201922566,1249,'4 4BR+','2000-2009',113000
55,0.1821747309,792,'2 2BR','2000-2009',75000
54,0.2695883447,1160,'4 4BR+','1980-1989',55000
59,0.0514329191,1082,'4 4BR+','1980-1989',95600
59,0.0829651193,1336,'4 4BR+','2000-2009',61000
29,0.0336145663,1336,'4 4BR+','2000-2009',60000
61,0.1531217215,1469,'4 4BR+','1980-1989',40000
68,0.3272446048,1204,'3 3BR','1980-1989',1300
53,0.1011472405,1116,'4 4BR+','2000-2009',341943
82,0.2482887368,997,'3 3BR','2000-2009',0
32,0.1431162799,997,'3 3BR','2000-2009',118000
62,0.028430779,535,'1 1BR','1980-1989',38000
-9,-9,700,'2 2BR','1980-1989',-9
50,0.5052055627,873,'3 3BR','2000-2009',13000
53,0.2368968425,1467,'4 4BR+','1980-1989',66667
28,0.1740744867,1060,'3 3BR','2000-2009',74934
-9,-9,1191,'1 1BR','2000-2009',-9
-9,-9,1149,'4 4BR+','1980-1989',-9
29,0.3007350889,1827,'4 4BR+','2000-2009',30000
49,0.2548244151,1592,'4 4BR+','2000-2009',57000
26,0.1404945759,748,'1 1BR','2000-2009',64000
35,0.2473522614,1592,'4 4BR+','2000-2009',58000
62,0.2633108108,1592,'4 4BR+','2000-2009',0
40,0.0268819969,1948,'4 4BR+','2000-2009',158291
33,0.2319170812,1948,'4 4BR+','2000-2009',72000
41,0.1466413917,1827,'4 4BR+','2000-2009',143000
56,0.4527777778,925,'2 2BR','1980-1989',0
63,0.090455525,1102,'3 3BR','2000-2009',99000
45,0.1754070073,1102,'3 3BR','2000-2009',80000
32,0.0992377319,1104,'2 2BR','1980-1989',238000
-9,-9,1104,'2 2BR','1980-1989',-9
68,0.8489218421,1204,'3 3BR','1980-1989',0
34,0.126974492,1129,'4 4BR+','1990-1999',145000
58,2.6573493976,897,'1 1BR','1980-1989',2000
33,0.1940391275,1430,'3 3BR','2000-2009',101400
-9,-9,1104,'2 2BR','2000-2009',-9
47,0.2592927002,1697,'4 4BR+','2000-2009',145000
59,0.240625,1627,'3 3BR','2000-2009',91470
25,0.1795000086,1104,'2 2BR','1980-1989',58000
35,0.5034186051,1710,'4 4BR+','2000-2009',53000
49,0.1671080139,768,'1 1BR','2000-2009',86000
45,0.3294811383,1430,'3 3BR','2000-2009',76000
76,0.3146030709,791,'2 2BR','1980-1989',0
30,0.2347600779,773,'2 2BR','2000-2009',49800
49,0.1132896851,1877,'3 3BR','2000-2009',115000
81,0.2506864564,1410,'2 2BR','1990-1999',0
31,0.3353454058,1877,'3 3BR','2000-2009',85000
81,0.1836165356,1135,'1 1BR','1980-1989',71000
44,0.1590516697,934,'3 3BR','1990-1999',95000
41,0.3036603221,1056,'3 3BR','1980-1989',31993
52,0.2151040182,1153,'3 3BR','2000-2009',20223
38,0.1112623086,1328,'4 4BR+','1980-1989',260000
85,0.3179695431,1955,'3 3BR','1980-1989',0
54,0.2264579447,951,'3 3BR','1980-1989',37000
61,0.2939086294,615,'1 1BR','1980-1989',25000
56,0.3156709885,643,'1 1BR','1980-1989',24000
35,0.324183234,643,'1 1BR','1980-1989',23000
45,0.2865,1209,'4 4BR+','2000-2009',60000
66,0.1399250936,517,'1 1BR','1980-1989',350
25,0.1666264187,664,'2 2BR','1980-1989',58000
41,0.2362079619,830,'2 2BR','1980-1989',34000
56,0.1320696043,883,'3 3BR','1990-1999',74000
60,0.1501988146,991,'4 4BR+','2000-2009',80000
28,0.1704443155,883,'3 3BR','2000-2009',100000
56,0.089281952,1185,'3 3BR','1980-1989',341943
71,0.4385237742,706,'1 1BR','2000-2009',0
65,0.2496332242,893,'2 2BR','1980-1989',15800
49,0.3820743821,949,'3 3BR','1980-1989',26000
63,0.2718181818,1032,'3 3BR','1980-1989',0
38,0.5777505977,907,'3 3BR','1980-1989',36000
-9,-9,542,'1 1BR','1980-1989',-9
49,0.2346131059,1343,'3 3BR','2000-2009',103000
60,0.167613474,1251,'3 3BR','1980-1989',175000
55,0.1934035446,1573,'4 4BR+','2000-2009',158400
